POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;ECM ForixTeamId;*Extra 8;*Extra 9;*Extra 10;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_ECM ForixDriverId;DRIVER_*Extra 4;DRIVER_*Extra 5;
11;3;Classified;36;47:51.146;+48.635;+1.651;11;1:12.908;115.9;Panasonic Jaguar Racing;;;;Jaguar I-Type III;MICHELIN;;;;;;;2016020101;;;;Nelson;PIQUET;;BRA;BRA;PIQ;9069;;1985072500;;;
12;11;Classified;36;48:06.063;+1:03.552;+14.917;28;1:11.519;118.2;Audi Sport Abt Schaeffler Formula E Team;;;;Audi e-tron FE05;MICHELIN;;;;;;;2017908101;;;;Lucas;DI GRASSI;;BRA;BRA;DIG;1098;;1984081100;;;
13;36;Classified;36;48:22.217;+1:19.706;+16.154;24;1:11.936;117.5;DS TECHEETAH;;;;DS E-TENSE FE19;MICHELIN;;;;;;;2018020118;;;;André;LOTTERER;;DEU;DEU;LOT;8013;;1981111900;;;
14;17;Classified;35;47:36.494;1 Lap;1 Lap;7;1:13.350;115.2;HWA RACELAB;;;;Venturi VFE05;MICHELIN;;;;;;;2018020105;;;;Gary;PAFFETT;;GBR;GBR;PAF;;;1981032400;;;
;22;Not classified;31;41:17.352;;;25;1:12.284;116.9;Nissan e.dams;;;;Nissan IM01;MICHELIN;;;;;;;2018020109;;;;Oliver;ROWLAND;;GBR;GBR;ROW;;;1992081000;;;
;28;Not classified;23;32:35.493;;;12;1:12.089;117.3;BMW i ANDRETTI MOTORSPORT;;;;BMW iFE.18;MICHELIN;;;;;;;2018020128;;;;Antonio Felix;DA COSTA;;PRT;PRT;DAC;3177;;1991083100;;;
;25;Not classified;22;31:09.853;;;13;1:12.411;116.7;DS TECHEETAH;;;;DS E-TENSE FE19;MICHELIN;;;;;;;2018020118;;;;Jean-Eric;VERGNE;;FRA;FRA;JEV;1086;;1990042500;;;
;23;Not classified;21;28:47.452;;;7;1:12.255;117.0;Nissan e.dams;;;;Nissan IM01;MICHELIN;;;;;;;2018020109;;;;Sébastien;BUEMI;;CHE;CHE;BUE;1090;;1988103100;;;
;5;Not classified;17;23:22.992;;;7;1:13.095;115.6;HWA RACELAB;;;;Venturi VFE05;MICHELIN;;;;;;;2018020105;;;;Stoffel;VANDOORNE;;BEL;BEL;VAN;;;1992032600;;;
;6;Not classified;12;14:56.664;;;9;1:12.552;116.5;GEOX DRAGON;;;;Penske EV-3;MICHELIN;;;;;;;2011110301;;;;Maximilian;GÜNTHER;;DEU;DEU;GUN;;;1997070200 ;;;
;19;Not classified;12;14:57.850;;;6;1:13.093;115.6;Venturi Formula E Team;;;;Venturi VFE05;MICHELIN;;;;;;;2014020109;;;;Felipe;MASSA;;BRA;BRA;MAS;;;1981042500;;;
;8;Not classified;10;13:59.390;;;3;1:13.172;115.5;NIO Formula E Team;;;;NIO Sport 004;MICHELIN;;;;;;;2017908102;;;;Tom;DILLMANN;;FRA;FRA;DIL;8009;;1989040601;;;
